Kode,Nama Paket,Nama Paket Url,K/L/PD,Tahapan,Tahapan Url,HPS
79768336014,"DED Pengembangan Sarana dan Prasarana Edukasi Wisata Kantor Pusat CDKPWS spse 4.5

Jasa Konsultansi Badan Usaha Konstruksi - TA 2022 - Seleksi - Prakualifikasi Dua File Kualitas dan Biaya

Nilai Kontrak : Rp. 219.891.555,00",https://lpse.jabarprov.go.id/eproc4/lelang/79768336014/pengumumanlelang,Pemerintah Daerah Provinsi Jawa Barat,Tender Sudah Selesai,https://lpse.jabarprov.go.id/eproc4/lelang/79768336014/jadwal,"231,9 Jt"
79768335014,"Belanja Modal Alat Kedokteran Umum (DR & MONITOR) spse 4.5

Pengadaan Barang - TA 2022 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem Gugur

Nilai Kontrak : Rp. 422.122.222,00",https://lpse.jabarprov.go.id/eproc4/lelang/79768335014/pengumumanlelang,Pemerintah Daerah Provinsi Jawa Barat,Tender Sudah Selesai,https://lpse.jabarprov.go.id/eproc4/lelang/79768335014/jadwal,"424,5 Jt"
79768334014,"Penataan Sarana Permukiman Kawasan Pantai Mekar Kabupaten Bekasi spse 4.5

Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur

Nilai Kontrak : Rp. 319.953.600,00",https://lpse.jabarprov.go.id/eproc4/lelang/79768334014/pengumumanlelang,Pemerintah Daerah Provinsi Jawa Barat,Tender Sudah Selesai,https://lpse.jabarprov.go.id/eproc4/lelang/79768334014/jadwal,"399,9 Jt"
79768325014,"Belanja Hibah Barang kepada Badan dan Lembaga Nirlaba, Sukarela Bersifat Sosial Kemasyarakatan (Pengadaan Gabah) spse 4.5

Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur

Nilai Kontrak : Rp. 289.806.900,00",https://lpse.jabarprov.go.id/eproc4/lelang/79768325014/pengumumanlelang,Pemerintah Daerah Kabupaten Garut,Tender Sudah Selesai,https://lpse.jabarprov.go.id/eproc4/lelang/79768325014/jadwal,"298,8 Jt"
79768321014,"Pengadaan Obat spse 4.5

Pengadaan Barang - TA 2022 - Tender Cepat - Pascakualifikasi Satu File Harga Terendah Sistem Gugur

Nilai Kontrak : Rp. 2.186.596.992,00",https://lpse.jabarprov.go.id/eproc4/lelang/79768321014/pengumumanlelang,Pemerintah Daerah Kabupaten Garut,Tender Sudah Selesai,https://lpse.jabarprov.go.id/eproc4/lelang/79768321014/jadwal,"2,2 M"
79768320014,"DED Pengembangan Sarana dan Prasarana Edukasi Wisata Satuan Pelayanan Ciranjang spse 4.5

Jasa Konsultansi Badan Usaha Konstruksi - TA 2022 - Seleksi - Prakualifikasi Dua File Pagu Anggaran

Nilai Kontrak : Rp. 280.225.951,88",https://lpse.jabarprov.go.id/eproc4/lelang/79768320014/pengumumanlelang,Pemerintah Daerah Provinsi Jawa Barat,Tender Sudah Selesai,https://lpse.jabarprov.go.id/eproc4/lelang/79768320014/jadwal,290 Jt
79768317014,"Peningkatan Jalan Pertanian Desa Panembong Kec. Bayongbong Tender Ulang spse 4.5

Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur

Nilai Kontrak : Rp. 842.761.000,00",https://lpse.jabarprov.go.id/eproc4/lelang/79768317014/pengumumanlelang,Pemerintah Daerah Kabupaten Garut,Tender Sudah Selesai,https://lpse.jabarprov.go.id/eproc4/lelang/79768317014/jadwal,1 M
79768316014,"Pengembangan SPAM Kp. Cibuyut Ds. Sukaratu Kec. Malangbong (Bantuan Keuangan Provinsi) Tender Ulang spse 4.5

Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur

Nilai Kontrak : Rp. 275.712.612,53",https://lpse.jabarprov.go.id/eproc4/lelang/79768316014/pengumumanlelang,Pemerintah Daerah Kabupaten Garut,Tender Sudah Selesai,https://lpse.jabarprov.go.id/eproc4/lelang/79768316014/jadwal,"299,7 Jt"
79768315014,"Pengembangan SPAM Kp. Gunung Jaya RT 08 RW 05 Ds. Sirnajaya Kec. Cisurupan (Bantuan Keuangan Provinsi) Tender Ulang spse 4.5

Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur

Nilai Kontrak : Rp. 333.644.406,28",https://lpse.jabarprov.go.id/eproc4/lelang/79768315014/pengumumanlelang,Pemerintah Daerah Kabupaten Garut,Tender Sudah Selesai,https://lpse.jabarprov.go.id/eproc4/lelang/79768315014/jadwal,"349,7 Jt"
79768314014,"Pengembangan SPAM Kp. Lembang RW. 07 Ds. Tanjung Karya Kec. Samarang (Bantuan Keuangan Provinsi) Tender Ulang spse 4.5 Evaluasi Ulang

Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur

Nilai Kontrak : Nilai Kontrak belum dibuat",https://lpse.jabarprov.go.id/eproc4/lelang/79768314014/pengumumanlelang,Pemerintah Daerah Kabupaten Garut,Tender Sudah Selesai,https://lpse.jabarprov.go.id/eproc4/lelang/79768314014/jadwal,"349,7 Jt"
79768313014,"Pengembangan SPAM Kp. Salamnunggal RT 05 RW 08 Ds. Sirnajaya Kec. Cisurupan (Bantuan Keuangan Provinsi) Tender Ulang spse 4.5

Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur

Nilai Kontrak : Rp. 275.047.300,00",https://lpse.jabarprov.go.id/eproc4/lelang/79768313014/pengumumanlelang,Pemerintah Daerah Kabupaten Garut,Tender Sudah Selesai,https://lpse.jabarprov.go.id/eproc4/lelang/79768313014/jadwal,"299,7 Jt"
79768312014,"Pembangunan Solar Dryer Dome Tender Ulang spse 4.5

Pengadaan Barang - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur

Nilai Kontrak : Nilai Kontrak belum dibuat",https://lpse.jabarprov.go.id/eproc4/lelang/79768312014/pengumumanlelang,Pemerintah Daerah Kabupaten Garut,Tender Sudah Selesai,https://lpse.jabarprov.go.id/eproc4/lelang/79768312014/jadwal,"1,9 M"
79768311014,"Rehabilitasi Jaringan Irigasi Cijengkol Ds. Pasirkiamis Kec. Pasirwangi (BANPROV) Tender Ulang spse 4.5

Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur

Nilai Kontrak : Rp. 462.436.926,00",https://lpse.jabarprov.go.id/eproc4/lelang/79768311014/pengumumanlelang,Pemerintah Daerah Kabupaten Garut,Tender Sudah Selesai,https://lpse.jabarprov.go.id/eproc4/lelang/79768311014/jadwal,"483,3 Jt"
79768310014,"Rehabilitasi Jaringan Irigasi Kp. Cikaruk Ds. Maripari Kec. Sukawening (BANPROV) Tender Ulang spse 4.5

Pekerjaan Konstruksi - TA 2022 - Tender - Pascakualifikasi Satu File Harga Terendah Sistem Gugur

Nilai Kontrak : Rp. 465.135.188,00",https://lpse.jabarprov.go.id/eproc4/lelang/79768310014/pengumumanlelang,Pemerintah Daerah Kabupaten Garut,Tender Sudah Selesai,https://lpse.jabarprov.go.id/eproc4/lelang/79768310014/jadwal,"489,6 Jt"
